concert_name,concert_date,concert_time,artist,venue,venue_address,cost,created_at,updated_at
"Sevenars Music Festival presents","Sunday, July 16, 2017","4:00 pm","Chamber Music","The Academy","South Worthington",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Maverick Concerts presents","Sunday, July 16, 2017","4:00 pm","Parker String Quartet","120 Maverick Rd","Woodstock, Woodstock",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Bowdoin International Music Festival (SZ) presents","Monday, July 17, 2017","7:30 pm","Chamber Music","Studzinski Recital Hall","Bowdoin College, Brunswick",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Newport Music Festival presents","Monday, July 17, 2017","8:00 pm","Chamber Music","Various Mansions","Newport",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Monday, July 17, 2017","8:00 pm","Tanglewood Music Center Orchestra","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Newport Music Festival presents","Tuesday, July 18, 2017","8:00 pm","Chamber Music","Various Mansions","Newport",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Newport Music Festival presents","Wednesday, July 19, 2017","6:00 pm","Three Pianos, Six Hands","Various Mansions","Newport",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Newport Music Festival presents","Wednesday, July 19, 2017","6:00 pm","Bach Gamba Sonatas","Various Mansions","Newport",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Landmarks Orchestra presents","Wednesday, July 19, 2017","7:00 pm","Opening Night","Hatch Shell Boston Esplanade","Boston",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Bowdoin International Music Festival (SZ) presents","Wednesday, July 19, 2017","7:30 pm","Chamber Music","Studzinski Recital Hall","Bowdoin College, Brunswick",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Newport Music Festival presents","Wednesday, July 19, 2017","8:00 pm","Chamber Music","Various Mansions","Newport",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Wednesday, July 19, 2017","8:00 pm","Emerson String Quartet","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Aston Magna (W) presents","Thursday, July 20, 2017","7:00 pm","Music from the Court of Isabella D’Este","Slosberg Recital Hall","415 South Street, Waltham",45.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Metropolitan Wind Symphony presents","Thursday, July 20, 2017","7:30 pm","MetWinds Band Concerts in the Park","National Heritage Museum","33 Marrett Road, Lexington, MA",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Thursday, July 20, 2017","8:00 pm","Emerson String Quartet","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
